,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_degree,param_kernel,param_max_iter,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
167,0.003123903274536133,0.0005185396826098592,0.0022365331649780275,0.0005205448267665211,4,1,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
211,0.002822279930114746,0.00015631080069697972,0.0021058082580566405,0.00031868319418860763,4,6,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
210,0.00345759391784668,0.0007715659076294425,0.002451467514038086,0.000509024847864571,4,6,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
174,0.003578853607177734,0.0005246330899797673,0.003197646141052246,0.0014523775032669434,4,2,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
175,0.0043181896209716795,0.001319931747294319,0.0027787446975708007,0.0005027702510207027,4,2,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
176,0.003859257698059082,0.00045631896530542765,0.0027095556259155275,0.0005518076026525756,4,2,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
203,0.003132200241088867,0.0003628984879758735,0.002199244499206543,0.00021914805108773765,4,5,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
202,0.0031771183013916014,0.0003285141527139138,0.0021936893463134766,0.00014330820987408792,4,5,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
201,0.003935432434082032,0.0009839878152540272,0.002588057518005371,0.0004516449357914406,4,5,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
183,0.005384397506713867,0.0013831936902897757,0.0033787250518798827,0.0006487124034297717,4,3,rbf,1000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
184,0.005308389663696289,0.0015249961296190464,0.003777146339416504,0.0011830768248909927,4,3,rbf,2000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
185,0.004250931739807129,0.000781189831698151,0.0034862041473388674,0.0012239186945087173,4,3,rbf,3000,1.0,0.9333333333333333,1.0,1.0,0.9333333333333333,1.0,0.9333333333333333,1.0,1.0,1.0,0.9800000000000001,0.030550504633038926,7
